Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
INDIG=G6 IS,ARBITRAG,209- ARBITRAGE FUND,INTERGLOBE AVIAT Feb26,INDIG=G6,-1214,-182100,-849660105.5,4665.898438,02/24/2026,InterGlobe Aviation Ltd,0
INDUS=G6 IS,ARBITRAG,209- ARBITRAGE FUND,INDUS TOWERS LTD Feb26,INDUS=G6,-1457,-2476900,-1058131559,427.1999512,02/24/2026,Indus Towers Ltd,0
INFO=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Infosys Ltd Feb26,INFO=G6,-265,-106000,-173257000,1634.5,02/24/2026,Infosys Ltd,0
INFOE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Info Edge India Feb26,INFOE=G6,-18,-6750,-8398349.67,1244.199951,02/24/2026,Info Edge India Ltd,0
INXW=G6 IS,ARBITRAG,209- ARBITRAGE FUND,INOX WIND LTD Feb26,INXW=G6,-1154,-4125550,-428727148.4,103.9199982,02/24/2026,Inox Wind Ltd,0
IOCL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Indian Oil Corp Feb26,IOCL=G6,-20,-97500,-15858374.4,162.6499939,02/24/2026,Indian Oil Corp Ltd,0
IPRU=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ICICI PRUDENTIAL Feb26,IPRU=G6,-338,-312650,-199877083.9,639.2998047,02/24/2026,ICICI Prudential Life Insuranc,0
ITC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ITC Limited Feb26,ITC=G6,-4140,-6624000,-2021312953,305.1499023,02/24/2026,ITC Ltd,0
JINDA=G6 IS,ARBITRAG,209- ARBITRAGE FUND,JINDAL STEEL & P Feb26,JINDA=G6,-77,-48125,-53202187.5,1105.5,02/24/2026,Jindal Steel Ltd,0
JIOFI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,JIO FINANCIAL SE Feb26,JIOFI=G6,-1552,-3647200,-879522257.7,241.1499939,02/24/2026,Jio Financial Services Ltd,0
JSTL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,JSW Steel Limited Feb26,JSTL=G6,-1808,-1220400,-1463625780,1199.300049,02/24/2026,JSW Steel Ltd,0
JSW=G6 IS,ARBITRAG,209- ARBITRAGE FUND,JSW ENERGY LTD Feb26,JSW=G6,-972,-972000,-436087705.1,448.6499023,02/24/2026,JSW Energy Ltd,0
KALYA=G6 IS,ARBITRAG,209- ARBITRAGE FUND,KALYAN JEWELLERS Feb26,KALYA=G6,-1018,-1196150,-433544509.1,362.4499512,02/24/2026,Kalyan Jewellers India Ltd,0
KMB=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Kotak Mahindra Bk Feb26,KMB=G6,-2673,-5346000,-2200412817,411.5998535,02/24/2026,Kotak Mahindra Bank Ltd,0
KMB=H6 IS,ARBITRAG,209- ARBITRAGE FUND,Kotak Mahindra Bk Mar26,KMB=H6,-500,-1000000,-414349853.5,414.3498535,03/30/2026,Kotak Mahindra Bank Ltd,0
LAURU=G6 IS,ARBITRAG,209- ARBITRAGE FUND,LAURUS LABS LTD Feb26,LAURU=G6,-603,-512550,-482283897.5,940.9499512,02/24/2026,Laurus Labs Ltd,0
LICHF=G6 IS,ARBITRAG,209- ARBITRAGE FUND,LIC Housing Fin Feb26,LICHF=G6,-1280,-1280000,-646080000,504.75,02/24/2026,LIC Housing Finance Ltd,0
LICI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,LIC INSURANCE CO Feb26,LICI=G6,-322,-225400,-179846638,797.8999023,02/24/2026,Life Insurance Corp of India,0
LODHA=G6 IS,ARBITRAG,209- ARBITRAGE FUND,LODHA DEVELOPERS Feb26,LODHA=G6,-519,-233550,-220973309.7,946.1499023,02/24/2026,Lodha Developers Ltd,0
LT=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Larsen & Toubro Feb26,LT=G6,-396,-69300,-270242286.8,3899.600098,02/24/2026,Larsen & Toubro Ltd,0
LTIM=G6 IS,ARBITRAG,209- ARBITRAGE FUND,LTIMindtree LTD Feb26,LTIM=G6,-351,-52650,-316900350,6019,02/24/2026,LTIMindtree Ltd,0
MAXF=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MAX FINANCIAL SE Feb26,MAXF=G6,-634,-253600,-416791600,1643.5,02/24/2026,Max Financial Services Ltd,0
MAXHE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MAX HEALTHCARE I Feb26,MAXHE=G6,-838,-439950,-418964299.1,952.2998047,02/24/2026,Max Healthcare Institute Ltd,0
MAXHE=H6 IS,ARBITRAG,209- ARBITRAGE FUND,MAX HEALTHCARE I Mar26,MAXHE=H6,-143,-75075,-71993167.58,958.9499512,03/30/2026,Max Healthcare Institute Ltd,0
MAZDO=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MAZAGON DOCK SHIPB Feb26,MAZDO=G6,-77,-15400,-36812158.5,2390.399902,02/24/2026,Mazagon Dock Shipbuilders Ltd,0
MGFL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MANAPPURAM FINAN Feb26,MGFL=G6,-391,-1173000,-314891792.7,268.4499512,02/24/2026,Manappuram Finance Ltd,0
MM=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MAHINDRA & MAHIN Feb26,MM=G6,-1988,-397600,-1349772499,3394.800049,02/24/2026,Mahindra & Mahindra Ltd,0
MM=H6 IS,ARBITRAG,209- ARBITRAGE FUND,MAHINDRA & MAHIN Mar26,MM=H6,-1,-200,-683200,3416,03/30/2026,Mahindra & Mahindra Ltd,0
